url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_rank
http://esxcc.com/js/index.htm?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fxftsknwus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,1,0,1755360952,0,1,142,1,0,0,10000000
http://www.agcocorpdealers.com/isaacsonimplt/,1,1,0,875745142,169,0,95,0,0,1,78603
http://tools.ietf.org/html/rfc1922,1,1,1,69191229,201,0,35,0,0,1,12119
http://www.dierencasting.nl/index2.html,1,1,0,3106504464,13,0,40,0,0,1,10000000
http://www.csc.villanova.edu/~japaridz/,0,1,0,2573781578,8,0,39,1,0,1,28454
http://www.zvon.org/xxl/DTDTutorial/General/book.html,0,1,0,1599411895,0,0,53,1,0,1,418902
http://www.cogneticsystems.com/xquery/xquery.html,0,1,0,1753463681,21,0,49,1,0,1,10000000
http://www.angelfire.com/fl/KinamK/lonewolf/index.html,0,1,0,3519740969,2,0,54,1,0,1,17554
http://tools.ietf.org/html/rfc3030,1,1,1,69191229,102,0,35,0,0,1,12119
http://talkingdrumrecords.com/index.htm,0,1,0,1075679497,0,0,39,1,0,1,10000000
http://tools.ietf.org/html/rfc934,1,1,1,69191229,36,0,34,0,0,1,12119
http://tools.ietf.org/html/rfc728,1,1,1,69191229,5,0,34,0,0,1,12119
http://www.dr-lex.be/tagwriter/,1,1,0,3641962397,2,1,32,0,0,1,2306954
http://tibla.com.eu.interii.pl/hack.html,1,1,1,3645522199,435,0,23,0,0,1,723
http://stanislavs.tripod.com/prog/prog.htm,0,1,0,3519740994,15,0,42,1,0,1,10000000
http://www.adamsah.net/~asah/startup-advice.html,0,1,0,51862517,0,0,48,1,0,1,10000000
http://spreadsheets.google.com/spreadsheet/viewform?formkey=dDVIRmRHV3NteVZKQU8xbHo0QUtaaVE6MQ,1,1,1,2899909262,3,1,128,0,0,1,1
http://models.com/model_culture/tales_model/karolina/index.html,1,1,1,2542501899,31,0,31,0,0,1,25478
http://tizag.com/htmlT/,0,1,0,1158736919,37,1,23,1,0,1,80801
http://www.techfest.com/hardware/bus/eisa.htm,0,1,0,3425484839,2,1,45,1,0,1,6358922
http://www.is99.com/comelect/,0,1,0,792272857,0,0,29,1,0,0,10000000
http://www.port.ac.uk/departments/academic/comp/,1,1,0,769594797,114,1,48,0,0,1,64573
http://mxicoders.in/FamilyTree/components/com_ag_google_analytics2/7921211159/de-6438648835/,0,1,0,3325687755,0,1,92,1,0,0,10000000
http://www.lightstraw.co.uk/bletchley/tour.html,0,1,0,3105108974,24,0,47,1,0,1,10185279
http://www.cs.uky.edu/~jzhang/bilum.html,0,1,0,2158203413,13,0,40,1,0,0,12631
http://news.cnet.com/2100-1023-253512.html,1,1,0,599674706,220,0,64,0,0,1,167
http://amig0slivechats5.blogspot.com/,0,1,0,2899943841,12,1,37,1,0,0,10000000
http://inpmall.com/letsmall/bdata/banking/handelsbanken/update/secure/banking/handelsbanken/Login.htm,0,1,0,3077530658,0,1,101,1,0,0,10000000
http://phpweby.com/services/robots,0,1,1,3338429039,19,1,34,1,0,1,2839607
http://www.sanatkaravani.com/wp-content/uploads/2012/12/index.php,1,1,-1,2890126463,50,1,53,0,0,1,552208
http://www.chem.ualberta.ca/~abrown/fortran/intro.html,0,1,0,2172663939,54,0,54,1,0,0,7777
http://www.xellsoft.com/TurboLocator.html,0,1,-1,1436463337,60,0,41,1,0,1,3676739
http://tools.ietf.org/html/rfc2201,1,1,1,69191229,148,0,35,0,0,1,12119
http://hem.passagen.se/aceswe/erin.html,1,1,0,2890110247,113,0,24,0,0,1,2702074
http://www.echoswebmagic.com/web_design/,0,1,0,3629969514,16,0,40,1,0,1,10000000
http://yugong.fudan.edu.cn/js/index.htm,0,1,0,3396919410,0,1,39,1,0,0,4199
http://www.webiad.moe.go.th/images/stories/login/,0,1,0,3416258931,0,1,49,1,0,0,26817
http://dougmccune.com/blog/,0,1,0,1255206109,74,0,27,1,0,1,4783804
http://www.prove-security.tk/login.asp?ref=https:/us.battle.net/account/management/index.xml&amp;app,0,1,0,3272878753,0,1,100,1,1,1,10000000
http://stcseguritec.com.ar/seguranca-bancaria/atualizar/,0,1,0,2733725009,0,1,56,1,0,0,10000000
http://www.medremedy.net/DesktopDefault.aspx,1,1,0,2892521072,7,0,21,0,0,1,10000000
http://www.ece.mtu.edu/faculty/wfp/codes.html,0,1,0,2379957987,11,0,45,1,0,0,19368
http://www.e-infomax.com/ipmasq/,0,1,0,1139219269,0,0,32,1,0,1,10000000
http://tools.ietf.org/html/rfc973,1,1,1,69191229,36,0,34,0,0,1,12119
http://www.sevkon.net/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,0,1,0,2589869730,0,1,94,1,0,0,10000000
http://pastehtml.com/view/bebzjpol1.html,1,1,0,2542501898,1,0,41,0,0,1,1250938
http://www.openbsd.org/security.html,0,1,0,2172650946,60,0,36,1,0,1,211675
http://www.traffick.com/article.asp?aID=53,0,1,0,600287300,0,1,42,1,0,0,5243209
http://www.newscientist.com/article/dn2954,1,1,1,2539998937,84,0,84,0,0,1,11956
http://www.cs.kuleuven.be/cwis/research/graphics/RENDERPARK/,1,1,0,2251958288,5,1,43,0,0,1,6051
http://armarkets.com/rhb.com.my/services/lgn_new.htm,0,1,-1,577145012,1,0,52,1,0,1,10000000
